canonical_composer,canonical_title,數量
Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K. 570, 1st mov.",1
Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K.281",1
Wolfgang Amadeus Mozart,"Sonata in C Major, K 330, I. Allegro moderato",1
Wolfgang Amadeus Mozart,"Sonata in C Major, K279",1
Wolfgang Amadeus Mozart,"Sonata in C Minor K457, First Movement",1
Wolfgang Amadeus Mozart,"Sonata in C Minor, K. 457",1
Wolfgang Amadeus Mozart,"Sonata in C Minor, K. 457, 1st mov.",1
Wolfgang Amadeus Mozart,Sonata in D Major K576,1
Wolfgang Amadeus Mozart,"Sonata in D Major, K 284, First Movement",1
Wolfgang Amadeus Mozart,"Sonata in D Major, K 576, First Movement",1
Wolfgang Amadeus Mozart,"Sonata in D Major, K. 284, First Movement",1
Wolfgang Amadeus Mozart,"Sonata in D Major, K. 311",1
Wolfgang Amadeus Mozart,"Sonata in D Major, K. 576 (Complete)",1
Wolfgang Amadeus Mozart,"Sonata in D Major, K. 576, I - Allegro",1
Wolfgang Amadeus Mozart,"Sonata in D Major, K. 576, II - Adagio",1
Wolfgang Amadeus Mozart,"Sonata in D Major, K.311",1
Wolfgang Amadeus Mozart,"Sonata in D-Major, K. 311, First Movement",1
Wolfgang Amadeus Mozart,Sonata in F,1
Wolfgang Amadeus Mozart,Sonata in F K332,1
Wolfgang Amadeus Mozart,"Sonata in F Major, K 332 (Complete)",2
Wolfgang Amadeus Mozart,"Sonata in F Major, K. 280, 1st mov.",1
Wolfgang Amadeus Mozart,"Sonata in F Major, K280",3
Wolfgang Amadeus Mozart,"Sonata in F Major, K533",1
Wolfgang Amadeus Mozart,"Sonata in F Major, K533/K494",1
Wolfgang Amadeus Mozart,"Twelve Variations, K179 (189a)",1
